Cc1nc(CNC(=O)c2c(C)oc(C)c2C)no1, fitness:0.00470321845209
CC(C)COC1CCN(C(=O)c2cccc(F)c2N)CC1, fitness:0.531517658004
Cc1ccc(C(=O)N2CCN(C(C(N)=O)c3ccccc3)CC2)s1, fitness:0.081357962372
COC(=O)C(C)N(Cc1cccc(Cl)c1)C(=O)c1cccc(F)c1, fitness:0.672568713037
CC(C)n1cc(C(=O)N(C)CC(N)=O)c(=O)c2ccccc21, fitness:0.221226791248
Cc1ccc(C(=O)NCC(C)(O)c2cccs2)cc1F, fitness:0.619289185223
Cc1cccc2oc(C(=O)N3CCC(C)CC3)c(C)c12, fitness:0.00485543595797
Cc1nc2ccccc2n1CC(=O)NCc1ccccn1, fitness:0.409889438334
O=C(c1ccccc1Cl)N1CCCC(c2ccncn2)C1, fitness:0.965235067874
Cc1ccc(-n2nnc(CO)c2-c2ccncc2)cc1C, fitness:0.0323264352687
Cc1ccc(C(=O)NCC(C)(O)c2ccsc2)s1, fitness:0.0566336568323
Cc1cc(NC(=O)c2[nH]c(=O)ccc2N)cc(OC2CCCC2)c1, fitness:1.03998213009
Cc1cc(C(=O)Nc2ccc(-c3nnc4n3CCCCC4)cc2)c(C)o1, fitness:-1.49672106231
O=C(CN1CCN(C(=O)C2CC2)CC1)NCc1ccccc1Cl, fitness:0.175283352416
CN(CC#CCNC(=O)OC(C)(C)C)Cc1cccnc1, fitness:0.107817035209
O=C(CSc1ccccn1)Nc1ccccc1C(F)(F)F, fitness:0.0505525945847
O=C(NCc1cccc2c1OCO2)c1cnccc1-n1cccn1, fitness:0.978013150626
Cc1csc(CN(C)S(=O)(=O)c2cccc(C#N)c2)n1, fitness:0.900763880699
COc1ccc(CC(=O)Nc2nc(-c3ccc(C)cc3)cs2)cc1, fitness:0.711762337607
CCS(=O)(=O)N1CCN(Cc2ncc(C)s2)CC1, fitness:0.0108970506139
CC(C)N1CCN(C(=O)Cc2ccc(F)cc2F)CC1, fitness:0.01519603258
CC(C)Cn1nnc(C#N)c1-c1ccc(F)cc1, fitness:0.00724188233399
Cc1csc(=O)n1CC(=O)NC1Cc2cccc(F)c2C1, fitness:0.832811324286
Cc1noc(-c2ccc(NCc3ccc(F)cc3)cc2)n1, fitness:0.0212042235595
N#Cc1ccnc(NCC(=O)N2CCCc3c(F)cccc32)c1, fitness:1.32805087331
Cc1nc(C(=O)NCC(C)(O)c2ccccc2F)c(C(O)O)s1, fitness:0.691790695346
CC(C)OC(=O)C(C)C(=O)N1CCCCC1c1cn[nH]c1, fitness:0.501492586109
COC(=O)c1ccccc1CNC(=O)Cc1ccc(F)cc1, fitness:0.0429701281723
CC(C)NC(=O)CNc1ccc(S(C)(=O)=O)cc1, fitness:0.000165073012891
CCc1cccc(NC(=O)COc2ccccc2C(N)=O)c1, fitness:0.307351599031
Cc1cocc1C(=O)N1CCN(c2cncnc2N(C)C)CC1, fitness:0.886759063581
N#Cc1ccc(NC(=O)c2c[nH]c(Br)c2)cc1, fitness:0.00631162483721
CC(NC(=O)c1ccc(OCC2CCOC2)cc1)c1nnc(N)[nH]1, fitness:0.621457564051
COc1ccccc1-c1noc(CCn2cnc3sccc3c2=O)n1, fitness:1.19809035586
CN(Cc1ccc(-n2cccn2)cc1)C(=O)Cc1cccs1, fitness:1.19633791205
COc1cccc(C(=O)N(Cc2ccco2)Cc2cccs2)c1F, fitness:0.705691062052
Cc1noc(C)c1CNC(=O)c1ccc(Cl)cc1F, fitness:0.284877780932
COC(=O)c1ccc(NC(=O)c2ccc(C)nc2C)cc1C, fitness:0.0393556207439
CC(C)N(CC1COc2ccccc2O1)C(=O)c1cccc(F)c1, fitness:0.693042227845
CC(C)(NC(=O)C1C(=O)CCN1C1CCCC1)n1cccn1, fitness:0.588845811219
Cc1cccc(NC(=O)CS(=O)(=O)c2ccc(F)cc2)c1C, fitness:0.0347863412095
Cc1cccc(CNC(=O)Cn2cnc(-c3cccnc3)c2)c1, fitness:1.53310995211
CCN(CC)C(=O)c1ccccc1NCc1cc(=O)n2ccccc2n1, fitness:1.1186438094
CC(C)Oc1cccc(CNC(=O)c2[nH]ncc2N)c1, fitness:1.26759991468
Cc1cnoc1CNC(=O)C(C)Sc1ccccc1Br, fitness:0.881614894979
CN(Cc1ccc(Cl)cc1)C(=O)C1COc2ccccc21, fitness:0.108178342034
O=C(Cn1ccccc1=O)N(Cc1ccc(F)cc1)C1CC1, fitness:0.166282649807
COc1cc(OC)cc(C(=O)NC(C)C(=O)NC2CC2)c1, fitness:0.00582375132649
O=C(NCc1ccccc1F)c1ccnc2c1CCN2, fitness:0.808609624
Cc1cc(NC(=O)NCc2n[nH]cc2N)cc(OC2CCCC2)c1, fitness:0.955859706768
CN(Cc1ccccc1)C(=O)c1cccnc1N1CCCC1, fitness:0.191522357591
CCn1ncc(C)c1C(=O)N(C)Cc1noc(-c2ccccc2)n1, fitness:1.18655075037
Cc1cc(C)c(S(=O)(=O)NCc2csc(C)n2)c(C)c1, fitness:0.00684517457743
Cc1cc(F)cc(NC(=O)c2ccc3ccncc3c2)c1, fitness:0.210654414238
Cc1occc1CNC(=O)c1ccc(OCC(F)F)nc1, fitness:0.987426066639
N#Cc1ccccc1C(=O)N1CCCC(c2ccccc2F)C1O, fitness:0.441751066718
CC(C)CNC(=O)c1cnc(N2CCCC2)nc1N, fitness:0.16925824403
Cc1nc2ccccc2n1CCNC(=O)c1cnc2ccccc2c1, fitness:1.59178836222
CC(=O)NCC1CCCCN1c1nc(C2CC2)nc2cnn(C)c12, fitness:0.879698151782
CCN(Cc1ccccc1)C1=NS(=O)(=O)c2ccccc21, fitness:0.00495079864881
CC(C)Oc1ccc(-c2n[nH]c(Cn3ccnc3)n2)cc1, fitness:0.338018561466
N#Cc1ccccc1NC(=O)CCCn1cnc2ccccc21, fitness:1.29394579645
CN(CC(=O)Nc1nccs1)S(=O)(=O)c1ccc(F)cc1, fitness:0.549244520381
CCOC(=O)Cn1cnc(-c2ccccc2)c1-c1cccs1, fitness:1.00159129797
CN(Cc1ccccc1F)C(=O)CSc1nnc2n1CCCCC2, fitness:-1.45716363366
CC(C)c1ccc(F)c(NC(=O)c2ccc(C#N)cn2)c1, fitness:0.676880992705
Cc1cccn2cnc(CN(C)CC(=O)NC(C)C)c12, fitness:1.44748852314
CCC(C)NS(=O)(=O)c1ccccc1C(=O)Nc1cccnc1, fitness:1.15452037786
CC(C)Cn1ccc(C(=O)Nc2cccc(C(N)=O)c2)c1, fitness:0.268860398677
CC(NC(=O)c1ncc(N2CCCC2)cn1)C1Cc2ccccc2N1, fitness:0.641942102531
Cc1cc(O)ccc1C(=O)N(CC(C)C)C(C)C#N, fitness:0.00363201963298
CC(NC(=O)N(C)C(C)c1ccccc1)NS(=O)(=O)c1ccccc1, fitness:0.00990225070861
Cc1ccc(CNC(=O)c2ccc(C)c(Br)c2)o1, fitness:0.0259021664648
Cc1ccc(S(=O)(=O)NCc2noc(-c3ccccn3)n2)cc1C, fitness:1.57955057817
CC1CCC(NC(=O)CN(C)C(=O)c2ccc(C#N)cn2)CC1C, fitness:0.690400335518
CC(C)n1nnc2cc(C(=O)NCc3ccccc3)ccc21, fitness:0.498958505153
CC1(C)CCCC(C)(NC(=O)c2cccc3cncn23)C1, fitness:0.424664544928
Cc1ccccc1CS(=O)(=O)NCC1(C(N)=O)CCCOC1, fitness:0.891957364156
Cc1cc(NC(=O)c2cn3cccnc3n2)c2ncccc2c1, fitness:1.48859805497
CCn1cc(C(=O)NCCOc2ccc(Cl)cc2)cn1, fitness:0.451735972101
CC1CCC(C)N(C(=O)CN(C)Cc2ccccc2F)C1, fitness:0.295234135507
CC(C)c1nc(SCC(=O)NCc2cccc(F)c2)n[nH]1, fitness:1.20811728974
COc1cccc(OC)c1CNS(=O)(=O)c1n[nH]cc1N, fitness:0.0620376941521
Cc1noc(CNc2cccc(C(=O)N3CCCC3)c2)n1, fitness:1.66312676137
Cc1nc(C2CCN(C(=O)Cc3cc(Cl)cc(Cl)c3)C2)no1, fitness:0.835002516988
COc1ccc(CN(C)C(=O)CNc2ccc(C#N)cc2)cc1, fitness:0.244345663143
Cc1cccc(Cn2cnc3scc(-c4ccccc4)c3c2=O)c1, fitness:1.28604241777
CC1(CS(=O)c2ccccc2F)CCN(C(=O)OC(C)(C)C)C1, fitness:0.439826592345
CC(=O)N1CCN(C(C)C(=O)NCc2cccc(F)c2)CC1, fitness:0.310299026443
CCOc1cccc(OC)c1NC(=O)c1cncn1C(C)C, fitness:0.901359704093
CC(C)Cn1c(C(=O)Nc2ccccc2F)cccc1=O, fitness:0.0734304059139
Cc1ccc(C)c(NCC(=O)NCc2ccc3c(c2)OCO3)c1, fitness:0.860866256086
Cc1occc1C(=O)Nc1ccc(C(=O)N(C)C2CCCC2)cc1, fitness:0.393690098126
COc1ccc(C(=O)Nc2ccc(Cn3cccn3)cc2)cc1OC, fitness:1.38718025049
CC(=O)c1ccc(OCc2cc(C(=O)Nc3ccccn3)no2)cc1, fitness:1.11529175679
O=C(CSc1nc(-c2cccnc2)n[nH]1)Nc1cccc(Cl)c1, fitness:1.29084222377
C#CCN1CCN(C(=O)Cc2cc(Cl)cc(OC)c2)CC1, fitness:0.274990588644
CC(Cc1ccoc1)NC(=O)c1ccnn1-c1ccccc1, fitness:0.895562288367
CC(=O)Nc1ccccc1NC(=O)Cc1ocnc1-c1ccccc1, fitness:0.0583734599621
Cc1cscc1CNS(=O)(=O)c1cccc2c1COCCO2, fitness:-2.0470838129
Cc1cc(O)cc(C(=O)NC(C)c2nc3ccccc3[nH]2)c1, fitness:1.15798859341
CSc1ccccc1C(=O)NC(C)c1cocc1C, fitness:0.0373406881905
COc1cccc(C2CCCN2C(=O)CC2C=CCC2)c1, fitness:0.776809108647
CC(C)CNC(=O)c1ccc(NC(=O)C2CCCC2)cc1, fitness:0.019104344656
Cc1cnc(CN(C)C(=O)Cc2ccccc2O)s1, fitness:0.162758983965
Cc1nc(CNC(=O)c2cc(Cl)c3c(c2)OCCO3)cs1, fitness:1.23202490479
CC1CN(C(=O)c2ccccc2NC(=O)C2CC2)C(C)CO1, fitness:0.250785514423
CN(Cc1ccccc1F)C(=O)c1cc(C2CC2)n[nH]1, fitness:0.703407616271
O=C(CN1CCOCC1)Nc1ccc(OC2CCCC2)cc1, fitness:0.143361176943
Cc1cc(Cl)cc(NC(=O)C(C)n2ccccc2=O)c1, fitness:0.141002038877
CCOC(=O)c1c(N)nc(=O)[nH]c1-c1cccc(Cl)c1, fitness:1.16422917348
CNc1ncc(C(=O)N2CCN(CCOC)C(=O)C2)cn1, fitness:0.581682309796
COc1ccccc1CNC(=O)Cn1nnc(-c2ccccc2)n1, fitness:1.20792509165
CC(O)Nc1nc(N2CCOC(C)C2C)c2[nH]nc(N)c2n1, fitness:0.557429127432
COc1cccc(OC)c1CNC(=O)c1cccc(F)c1OC, fitness:0.0109728899462
NC(=O)C1c2ccccc2OC1NC(=O)Cc1cccc(F)c1, fitness:0.618064847763
COC(=O)c1cccc(NCc2cc3ccc(C)cc3[nH]c2=O)c1, fitness:1.1951267664
COc1cccc(C(=O)NCc2cn(-c3ccccc3)nn2)c1, fitness:1.31750918414
CC1COCC(C)N1C(=O)c1cccc(CSc2nc[nH]n2)c1, fitness:0.662430871778
CN(CC(=O)Nc1cccc(F)c1)C(=O)c1cccs1, fitness:0.324837133868
Cc1ccc(CNC(=O)Cc2c[nH]c3ccccc23)s1, fitness:0.279496857662
CC(Cc1ccoc1)NC(=O)c1ccccc1OCC(N)=O, fitness:0.00756344562428
Cc1c(C(=O)NCc2ccccn2)n(Cc2ccccc2)c2ccccc12, fitness:1.23859807353
CCC(=O)Nc1ccc(C#CCNC(=O)c2ccsc2)cc1, fitness:0.325598894332
CC1CCCC(NC(=O)Cc2ncc(N3CCC(=O)C3)s2)C1, fitness:0.693968055607
Cc1coc(C(=O)Nc2ccccc2-c2nnnn2C2CC2)c1, fitness:1.08878071174
Cc1csc(CN2CCN(C(=O)NCC(C)C)CC2)c1, fitness:0.123545215272
Cc1noc(-c2cccc(C(=O)N(C)Cc3cccs3)c2)n1, fitness:1.36603053935
CC(C)OC(C)(C)NC(=O)c1c(N)c[nH]c1C(N)=O, fitness:0.00134179639141
COc1cccc(CC(C)N(C)C(=O)c2ccccc2C#N)c1, fitness:0.833610545918
Cc1cccc2nc(CN(CC3CCOC3)C(=O)C3CC3)cn12, fitness:0.901879652572
COc1ccc(-c2nc(C(C)n3nccc3C)no2)cc1, fitness:0.106152982421
CC1CN(C(=O)CSc2nnc(C3CC3)n2C)C(C)CO1, fitness:0.568943162487
Cc1ccc(S(N)(=O)=O)cc1C(=O)NCC(C)(C)c1cccs1, fitness:1.29907879994
Cc1cccc(OC(C)N2CCN(C(=O)c3cccc(F)c3)CC2)c1, fitness:0.731857629178
CCN(Cc1ccccc1Cl)C(=O)c1ccncc1OCC(F)F, fitness:0.00849247414867
Cc1cc(CNC(=O)C2CC(=O)N(c3cccc(Cl)c3)C2)no1, fitness:1.07384428059
COc1cccc(OC)c1C(=O)Nc1nc(-c2ccccn2)cs1, fitness:0.378955939472
Cc1n[nH]c2ncc(NC(=O)CCc3nc(C(C)C)no3)cc12, fitness:1.24974190168
CCN(Cc1ccc(OC)cc1)C(=O)Cn1ccccc1=O, fitness:0.194030090621
CSc1cnc(Br)nc1C(=O)Nc1ccccc1C#N, fitness:0.629646725751
CN(CCc1ccc(F)cc1)C(=O)c1cc(=O)[nH]c2ccccc12, fitness:0.667171919742
CN(C)C(=O)c1ccc(OC2CCc3ccccc32)cc1, fitness:0.0224841220891
CN1C(=O)CN(C(=O)Cc2cccc(F)c2)c2ccccc21, fitness:0.131377238085
CN(Cc1cccc(F)c1)C(=O)C1CCCN1C(=O)c1ccccc1, fitness:0.916952682764
COc1cccc(N2CCC(=O)C2C(=O)Nc2cc(C)ccn2)c1, fitness:1.16718031946
CC(NC(=O)c1cccc(Br)c1)C(=O)N=C1NCC(=O)N1C, fitness:0.716472846508
Cc1ccc(CN(C)C(=O)Cc2ccc(O)cc2)cc1, fitness:0.00085298670159
CN(Cc1ccc(F)cc1)C(=O)CNC(=O)c1ccsc1, fitness:0.136232618267
Cc1ccc(NC(=O)C2(N)CNCCN2c2ccnc(C#N)c2)cc1, fitness:1.12413913585
COC(=O)c1sccc1CNc1ccccc1C(N)=O, fitness:0.130436004023
Cc1cc(CNS(=O)(=O)c2ccc(OC(F)F)cc2)no1, fitness:0.255287096466
COCc1ccccc1CNC(=O)c1ccccc1OC(F)F, fitness:0.00060777134663
COc1cccc(OC)c1C(=O)NCc1csc(C)c1, fitness:0.0262441881054
CC(=O)Nc1ccc(S(=O)(=O)N(C)CC2CC2)cc1, fitness:0.0148382460212
Cc1nc(CN(C)C(=O)c2cccc(C#N)c2)cs1, fitness:0.940898522717
COc1cccc(CC(=O)NC2CCCCN2C(=O)c2ccco2)c1, fitness:0.79833329957
COc1cc(OC)cc(C(=O)Nc2ncccc2C)c1, fitness:0.0148374247125
Cc1cc(C(=O)NCC(C)(O)C2CC2)sc1C, fitness:0.0233673642446
Nc1c[nH]nc1CN(C(=O)Cc1ccccc1F)C1CCCC1, fitness:0.687762176249
CC(C)C(NC(=O)NCc1ccc(Cl)cc1)c1ncn(C)n1, fitness:0.5233903993
COC(=O)CN1CCN(C(=O)c2ccc(Cl)cc2F)CC1, fitness:0.123903364769
C#CCOc1ccc(N(CCC#N)C(=O)c2ccc(C)nc2)cc1, fitness:1.01958361524
O=C(Cc1ccc[nH]1)Nc1ccccc1SC(F)F, fitness:0.0317333835687
Cc1nc(S(=O)(=O)NCC(C)(C)c2ccncc2)c[nH]1, fitness:0.0435090584598
Cc1cc(NC(=O)c2ccccc2C)cc(C(=O)N2CCOCC2)c1, fitness:0.774454428265
CC(C)c1nc(CN2CCN(C(=O)c3ccc(F)cc3)CC2)no1, fitness:0.845256510251
CS(=O)(=O)NCC(=O)Nc1ccccc1Br, fitness:0.000176001129695
O=C(COc1ccc2ccccc2c1)NCc1nnc2n1CCC2, fitness:1.13214066388
CCc1ncsc1CN(C)C(=O)c1ccccc1C#N, fitness:0.647013832291
Cc1ccc(NC(=O)Cc2csc(-c3cccs3)n2)cc1, fitness:0.332559587629
CC1CC1C(=O)NC1CCCCN1C(=O)c1ccccc1F, fitness:0.360780058121
Cc1cc(C)cc(NC(=O)CSc2nnc(C)n2CCO)c1, fitness:0.241997184094
C#CCN1CCN(C(=O)COc2ccc(C#N)cc2)CC1, fitness:0.0475919859051
O=C(c1ccsc1)N1CCC(Cn2cncn2)CC1, fitness:0.299366838736
Cc1cccc(NC(=O)CN(C)c2cccc(Cl)c2)c1, fitness:0.0849321215493
CSc1ccccc1NC(=O)CC1C(=O)Oc2ccccc21, fitness:0.142748479768
CC(C)c1ccc(N(CC(N)=O)S(C)(=O)=O)cc1, fitness:0.000142149883376
CCN(CC(=O)OC)C(=O)Cc1c(F)cccc1F, fitness:0.00043655913432
Cc1coc(C(=O)NCC(=O)C2CNc3ccccc32)c1, fitness:0.779031135656
CCOC(=O)c1ccc(NCc2csc(C)n2)cc1, fitness:0.125563895109
