Cc1nc(CNC(=O)c2c(C)oc(C)c2C)no1, fitness:0.325430032543
Cc1coc(C(=O)NC(C#N)c2ccc(Cl)cc2)c1, fitness:0.326530612245
COc1ccccc1C(=O)N(C)CC1CCN(C(=O)OC(C)(C)C)C1, fitness:0.275862068966
COc1cc(C(=O)NCC(C)C)ccc1-n1ccnn1, fitness:0.35739814153
Cc1cscc1C(=O)NCc1ccccc1S(N)(=O)=O, fitness:0.537056928034
COC(=O)c1ccc(NC(=O)c2ccc3c(C)nccc3c2)cc1, fitness:0.553250345781
CCC(=O)Nc1ccc(C(=O)NC(C)c2cccs2)cc1C, fitness:0.327391778829
Cc1ccc(C(=O)NCC(c2ccoc2)N2CCOCC2)s1, fitness:0.280701754386
CC1CCCCC1NC(=O)C1CN(C(=O)c2ccc(F)cc2)C1, fitness:0.285597715218
COc1cccc(CC(=O)NC(C)Cc2ccsc2)c1, fitness:0.269127258747
CN(Cc1nc2ccccc2c(=O)[nH]1)C(=O)Cc1ccccc1, fitness:0.415564790329
C#CCN(Cc1ccccc1F)C(=O)CN1CCOCC1C, fitness:0.237207726195
CCc1cnn(-c2ccccc2C)c1C(=O)Nc1nnc(C)s1, fitness:0.345065562457
Cc1csc(=O)n1CC(=O)Nc1ccccc1N1CCOCC1, fitness:0.285714285714
Cc1ccc(OCC#CCNC(=O)c2ccc(C)s2)nc1, fitness:0.327391778829
Cc1c(NC(=O)CC2CC3CCC2C3)cccc1C(=O)NC1CC1, fitness:0.254452926209
CN(CCC1CCCCO1)C(=O)c1ccc(NC(=O)C2CC2)cc1, fitness:0.351123595506
Cc1n[nH]c(-c2cccc(NC(=O)c3ccco3)c2)n1, fitness:0.393278512692
Cc1ccc(C(=O)NCCC(=O)Nc2ccncc2)s1, fitness:0.400320256205
Cc1ccccc1NC(=O)C(C)n1cnc2ccccc21, fitness:0.462249614792
Cc1ccc(S(=O)(=O)NCc2cscn2)c(C)c1, fitness:0.52950075643
Cc1ccccc1NC(=O)CCSc1ccccn1, fitness:0.440528634361
Cc1nc(C(=O)N2CCC(CO)CC2)c2ccccn12, fitness:0.339750849377
COc1ccc(C(=O)NCCc2nc(-c3ccccc3)n[nH]2)cc1, fitness:0.296296296296
Cc1ccc(CN(C)C(=O)c2cc3c([nH]c2=O)CCC3)o1, fitness:0.32154340836
Cc1nocc1NC(=O)c1ccccc1S(=O)(=O)NCC(C)C, fitness:0.379703141181
CC1CCCCN1c1ncnc(NCC2CCCO2)c1N, fitness:0.285714285714
O=C(CC1CCCC1)Nc1ccnc(-c2cccc(F)c2)c1, fitness:0.386371619248
Cc1cccc(C(=O)NCc2nnnn2C(C)C)c1O, fitness:0.363901018923
Cc1ccc(C(=O)Nc2nc(-c3ccc(F)cc3)cs2)cn1, fitness:0.370644922165
COc1ccc(C2CCCN2C(=O)C(C)(C)C#N)cc1, fitness:0.249791840133
Cc1ncoc1-c1ccccc1NC(=O)c1ccnc(F)c1, fitness:0.414364640884
Cc1c[nH]nc1C(=O)NCC(O)c1ccccc1Cl, fitness:0.339750849377
COc1cccc(CC(=O)NCC2(c3ccccc3)CC2)c1, fitness:0.279888044782
C#CCNC(=O)c1ccc(NCc2ccccc2-n2cccn2)cn1, fitness:0.344072568033
COc1ccc(C(=O)NC2CCOc3ccccc32)c(O)c1, fitness:0.254452926209
Cc1cccc(C)c1-c1nnn(CC(=O)N(C)CC(=O)NC2CC2)n1, fitness:0.413354531002
CC1CCCC(NC(=O)C(C)n2cnc3sccc3c2=O)C1, fitness:0.322788896062
CCN(Cc1ccccc1NC(=O)c1cccnc1)C(C)=O, fitness:0.339750849377
Cc1cc(C(=O)NCc2cccnc2OC2CCCC2)c(C)o1, fitness:0.355182434614
CC(=O)NC(CC(=O)N(C)c1ccc2ccccc2c1)c1ccsc1, fitness:0.373260943332
COC(=O)c1cccc(-c2nc(C3CC3)n(C(C)C)n2)c1, fitness:0.35739814153
CC(=O)Nc1ccccc1CC(=O)Nc1cccnc1C, fitness:0.417014178482
CC(=O)Nc1ccc(C(=O)NCc2cscn2)cc1, fitness:0.408496732026
COc1ccc(OC)c(CN(C)C(=O)c2ccc(C)cc2C)c1, fitness:0.384911470362
CC(=O)Nc1ccc(C(=O)N(C)C(C)c2cccs2)cc1, fitness:0.400320256205
COc1ccc(C(=O)Nc2ccncc2N2CCCC2)cc1, fitness:0.346287033474
Cc1nccc(C(=O)N(C)Cc2ccc(OC(C)C)cc2)n1, fitness:0.46511627907
CC(NC(=O)c1ccccc1Cl)c1ccc(O)cc1, fitness:0.292397660819
CCN1CCN(C(=O)c2ccccc2OCc2cccnc2)CC1, fitness:0.290909090909
Cc1ccc(NC(=O)c2ccc[nH]c2=O)c(Cl)c1, fitness:0.340425531915
CC(C)COC1CCN(C(=O)c2cccc(F)c2N)CC1, fitness:0.269127258747
Cc1ccc(C(=O)N2CCN(C(C(N)=O)c3ccccc3)CC2)s1, fitness:0.32
COC(=O)C(C)N(Cc1cccc(Cl)c1)C(=O)c1cccc(F)c1, fitness:0.259163272862
CC(C)n1cc(C(=O)N(C)CC(N)=O)c(=O)c2ccccc21, fitness:0.377643504532
Cc1ccc(C(=O)NCC(C)(O)c2cccs2)cc1F, fitness:0.363901018923
Cc1cccc2oc(C(=O)N3CCC(C)CC3)c(C)c12, fitness:0.333333333333
Cc1nc2ccccc2n1CC(=O)NCc1ccccn1, fitness:0.46511627907
O=C(c1ccccc1Cl)N1CCCC(c2ccncn2)C1, fitness:0.296296296296
Cc1ccc(-n2nnc(CO)c2-c2ccncc2)cc1C, fitness:0.440528634361
Cc1ccc(C(=O)NCC(C)(O)c2ccsc2)s1, fitness:0.291545189504
Cc1cc(NC(=O)c2[nH]c(=O)ccc2N)cc(OC2CCCC2)c1, fitness:0.33921302578
Cc1cc(C(=O)Nc2ccc(-c3nnc4n3CCCCC4)cc2)c(C)o1, fitness:0.381436745073
O=C(CN1CCN(C(=O)C2CC2)CC1)NCc1ccccc1Cl, fitness:0.244698205546
CN(CC#CCNC(=O)OC(C)(C)C)Cc1cccnc1, fitness:0.351123595506
O=C(CSc1ccccn1)Nc1ccccc1C(F)(F)F, fitness:0.333333333333
O=C(NCc1cccc2c1OCO2)c1cnccc1-n1cccn1, fitness:0.262295081967
Cc1csc(CN(C)S(=O)(=O)c2cccc(C#N)c2)n1, fitness:0.449050086356
COc1ccc(CC(=O)Nc2nc(-c3ccc(C)cc3)cs2)cc1, fitness:0.333456835865
CCS(=O)(=O)N1CCN(Cc2ncc(C)s2)CC1, fitness:0.425894378194
CC(C)N1CCN(C(=O)Cc2ccc(F)cc2F)CC1, fitness:0.310972900933
CC(C)Cn1nnc(C#N)c1-c1ccc(F)cc1, fitness:0.278810408922
Cc1csc(=O)n1CC(=O)NC1Cc2cccc(F)c2C1, fitness:0.280701754386
Cc1noc(-c2ccc(NCc3ccc(F)cc3)cc2)n1, fitness:0.417014178482
N#Cc1ccnc(NCC(=O)N2CCCc3c(F)cccc32)c1, fitness:0.338774253157
Cc1nc(C(=O)NCC(C)(O)c2ccccc2F)c(C(O)O)s1, fitness:0.310451879959
CC(C)OC(=O)C(C)C(=O)N1CCCCC1c1cn[nH]c1, fitness:0.230591852421
COC(=O)c1ccccc1CNC(=O)Cc1ccc(F)cc1, fitness:0.260642919201
CC(C)NC(=O)CNc1ccc(S(C)(=O)=O)cc1, fitness:0.465549348231
CCc1cccc(NC(=O)COc2ccccc2C(N)=O)c1, fitness:0.346287033474
Cc1cocc1C(=O)N1CCN(c2cncnc2N(C)C)CC1, fitness:0.386371619248
N#Cc1ccc(NC(=O)c2c[nH]c(Br)c2)cc1, fitness:0.363636363636
CC(NC(=O)c1ccc(OCC2CCOC2)cc1)c1nnc(N)[nH]1, fitness:0.253968253968
COc1ccccc1-c1noc(CCn2cnc3sccc3c2=O)n1, fitness:0.307881773399
CN(Cc1ccc(-n2cccn2)cc1)C(=O)Cc1cccs1, fitness:0.35739814153
COc1cccc(C(=O)N(Cc2ccco2)Cc2cccs2)c1F, fitness:0.210378681627
Cc1noc(C)c1CNC(=O)c1ccc(Cl)cc1F, fitness:0.346287033474
COC(=O)c1ccc(NC(=O)c2ccc(C)nc2C)cc1C, fitness:0.500963391137
CC(C)N(CC1COc2ccccc2O1)C(=O)c1cccc(F)c1, fitness:0.254452926209
CC(C)(NC(=O)C1C(=O)CCN1C1CCCC1)n1cccn1, fitness:0.290909090909
Cc1cccc(NC(=O)CS(=O)(=O)c2ccc(F)cc2)c1C, fitness:0.408496732026
Cc1cccc(CNC(=O)Cn2cnc(-c3cccnc3)c2)c1, fitness:0.381436745073
CCN(CC)C(=O)c1ccccc1NCc1cc(=O)n2ccccc2n1, fitness:0.367033700367
CC(C)Oc1cccc(CNC(=O)c2[nH]ncc2N)c1, fitness:0.32154340836
Cc1cnoc1CNC(=O)C(C)Sc1ccccc1Br, fitness:0.327391778829
CN(Cc1ccc(Cl)cc1)C(=O)C1COc2ccccc21, fitness:0.285597715218
O=C(Cn1ccccc1=O)N(Cc1ccc(F)cc1)C1CC1, fitness:0.244698205546
COc1cc(OC)cc(C(=O)NC(C)C(=O)NC2CC2)c1, fitness:0.278810408922
O=C(NCc1ccccc1F)c1ccnc2c1CCN2, fitness:0.333456835865
Cc1cc(NC(=O)NCc2n[nH]cc2N)cc(OC2CCCC2)c1, fitness:0.317662007624
CN(Cc1ccccc1)C(=O)c1cccnc1N1CCCC1, fitness:0.415564790329
CCn1ncc(C)c1C(=O)N(C)Cc1noc(-c2ccccc2)n1, fitness:0.387596899225
Cc1cc(C)c(S(=O)(=O)NCc2csc(C)n2)c(C)c1, fitness:0.500834724541
Cc1cc(F)cc(NC(=O)c2ccc3ccncc3c2)c1, fitness:0.415564790329
Cc1occc1CNC(=O)c1ccc(OCC(F)F)nc1, fitness:0.3159003159
N#Cc1ccccc1C(=O)N1CCCC(c2ccccc2F)C1O, fitness:0.192086054552
CC(C)CNC(=O)c1cnc(N2CCCC2)nc1N, fitness:0.384911470362
Cc1nc2ccccc2n1CCNC(=O)c1cnc2ccccc2c1, fitness:0.434056761269
CC(=O)NCC1CCCCN1c1nc(C2CC2)nc2cnn(C)c12, fitness:0.349539243724
CCN(Cc1ccccc1)C1=NS(=O)(=O)c2ccccc21, fitness:0.325430032543
CC(C)Oc1ccc(-c2n[nH]c(Cn3ccnc3)n2)cc1, fitness:0.307692307692
N#Cc1ccccc1NC(=O)CCCn1cnc2ccccc21, fitness:0.327391778829
CN(CC(=O)Nc1nccs1)S(=O)(=O)c1ccc(F)cc1, fitness:0.456942003515
CCOC(=O)Cn1cnc(-c2ccccc2)c1-c1cccs1, fitness:0.296296296296
CN(Cc1ccccc1F)C(=O)CSc1nnc2n1CCCCC2, fitness:0.29517874713
CC(C)c1ccc(F)c(NC(=O)c2ccc(C#N)cn2)c1, fitness:0.333456835865
Cc1cccn2cnc(CN(C)CC(=O)NC(C)C)c12, fitness:0.44142614601
CCC(C)NS(=O)(=O)c1ccccc1C(=O)Nc1cccnc1, fitness:0.414364640884
CC(C)Cn1ccc(C(=O)Nc2cccc(C(N)=O)c2)c1, fitness:0.377643504532
CC(NC(=O)c1ncc(N2CCCC2)cn1)C1Cc2ccccc2N1, fitness:0.30518819939
Cc1cc(O)ccc1C(=O)N(CC(C)C)C(C)C#N, fitness:0.367496937526
CC(NC(=O)N(C)C(C)c1ccccc1)NS(=O)(=O)c1ccccc1, fitness:0.417014178482
Cc1ccc(CNC(=O)c2ccc(C)c(Br)c2)o1, fitness:0.417014178482
Cc1ccc(S(=O)(=O)NCc2noc(-c3ccccn3)n2)cc1C, fitness:0.501253132832
CC1CCC(NC(=O)CN(C)C(=O)c2ccc(C#N)cn2)CC1C, fitness:0.328083989501
CC(C)n1nnc2cc(C(=O)NCc3ccccc3)ccc21, fitness:0.370644922165
CC1(C)CCCC(C)(NC(=O)c2cccc3cncn23)C1, fitness:0.301886792453
Cc1ccccc1CS(=O)(=O)NCC1(C(N)=O)CCCOC1, fitness:0.373260943332
Cc1cc(NC(=O)c2cn3cccnc3n2)c2ncccc2c1, fitness:0.426929392447
CCn1cc(C(=O)NCCOc2ccc(Cl)cc2)cn1, fitness:0.307692307692
CC1CCC(C)N(C(=O)CN(C)Cc2ccccc2F)C1, fitness:0.307692307692
CC(C)c1nc(SCC(=O)NCc2cccc(F)c2)n[nH]1, fitness:0.310451879959
COc1cccc(OC)c1CNS(=O)(=O)c1n[nH]cc1N, fitness:0.392464678179
Cc1noc(CNc2cccc(C(=O)N3CCCC3)c2)n1, fitness:0.40733197556
Cc1nc(C2CCN(C(=O)Cc3cc(Cl)cc(Cl)c3)C2)no1, fitness:0.32154340836
COc1ccc(CN(C)C(=O)CNc2ccc(C#N)cc2)cc1, fitness:0.377643504532
Cc1cccc(Cn2cnc3scc(-c4ccccc4)c3c2=O)c1, fitness:0.351123595506
CC1(CS(=O)c2ccccc2F)CCN(C(=O)OC(C)(C)C)C1, fitness:0.222057735011
CC(=O)N1CCN(C(C)C(=O)NCc2cccc(F)c2)CC1, fitness:0.307692307692
CCOc1cccc(OC)c1NC(=O)c1cncn1C(C)C, fitness:0.290909090909
CC(C)Cn1c(C(=O)Nc2ccccc2F)cccc1=O, fitness:0.291545189504
Cc1ccc(C)c(NCC(=O)NCc2ccc3c(c2)OCO3)c1, fitness:0.363901018923
Cc1occc1C(=O)Nc1ccc(C(=O)N(C)C2CCCC2)cc1, fitness:0.400436840189
COc1ccc(C(=O)Nc2ccc(Cn3cccn3)cc2)cc1OC, fitness:0.40733197556
CC(=O)c1ccc(OCc2cc(C(=O)Nc3ccccn3)no2)cc1, fitness:0.333555703803
O=C(CSc1nc(-c2cccnc2)n[nH]1)Nc1cccc(Cl)c1, fitness:0.322788896062
C#CCN1CCN(C(=O)Cc2cc(Cl)cc(OC)c2)CC1, fitness:0.239808153477
CC(Cc1ccoc1)NC(=O)c1ccnn1-c1ccccc1, fitness:0.32154340836
CC(=O)Nc1ccccc1NC(=O)Cc1ocnc1-c1ccccc1, fitness:0.326530612245
Cc1cscc1CNS(=O)(=O)c1cccc2c1COCCO2, fitness:0.373260943332
Cc1cc(O)cc(C(=O)NC(C)c2nc3ccccc3[nH]2)c1, fitness:0.386371619248
CSc1ccccc1C(=O)NC(C)c1cocc1C, fitness:0.333333333333
COc1cccc(C2CCCN2C(=O)CC2C=CCC2)c1, fitness:0.249910746162
CC(C)CNC(=O)c1ccc(NC(=O)C2CCCC2)cc1, fitness:0.347826086957
Cc1cnc(CN(C)C(=O)Cc2ccccc2O)s1, fitness:0.384911470362
Cc1nc(CNC(=O)c2cc(Cl)c3c(c2)OCCO3)cs1, fitness:0.3159003159
CC1CN(C(=O)c2ccccc2NC(=O)C2CC2)C(C)CO1, fitness:0.274402195218
CN(Cc1ccccc1F)C(=O)c1cc(C2CC2)n[nH]1, fitness:0.333456835865
O=C(CN1CCOCC1)Nc1ccc(OC2CCCC2)cc1, fitness:0.32
Cc1cc(Cl)cc(NC(=O)C(C)n2ccccc2=O)c1, fitness:0.384911470362
CCOC(=O)c1c(N)nc(=O)[nH]c1-c1cccc(Cl)c1, fitness:0.327391778829
CNc1ncc(C(=O)N2CCN(CCOC)C(=O)C2)cn1, fitness:0.333456835865
COc1ccccc1CNC(=O)Cn1nnc(-c2ccccc2)n1, fitness:0.327391778829
CC(O)Nc1nc(N2CCOC(C)C2C)c2[nH]nc(N)c2n1, fitness:0.275862068966
COc1cccc(OC)c1CNC(=O)c1cccc(F)c1OC, fitness:0.272479564033
NC(=O)C1c2ccccc2OC1NC(=O)Cc1cccc(F)c1, fitness:0.264051301396
COC(=O)c1cccc(NCc2cc3ccc(C)cc3[nH]c2=O)c1, fitness:0.310451879959
COc1cccc(C(=O)NCc2cn(-c3ccccc3)nn2)c1, fitness:0.32154340836
CC1COCC(C)N1C(=O)c1cccc(CSc2nc[nH]n2)c1, fitness:0.300100033344
CN(CC(=O)Nc1cccc(F)c1)C(=O)c1cccs1, fitness:0.377643504532
Cc1ccc(CNC(=O)Cc2c[nH]c3ccccc23)s1, fitness:0.313725490196
CC(Cc1ccoc1)NC(=O)c1ccccc1OCC(N)=O, fitness:0.259163272862
Cc1c(C(=O)NCc2ccccn2)n(Cc2ccccc2)c2ccccc12, fitness:0.40733197556
CCC(=O)Nc1ccc(C#CCNC(=O)c2ccsc2)cc1, fitness:0.307692307692
CC1CCCC(NC(=O)Cc2ncc(N3CCC(=O)C3)s2)C1, fitness:0.262295081967
Cc1coc(C(=O)Nc2ccccc2-c2nnnn2C2CC2)c1, fitness:0.328083989501
Cc1csc(CN2CCN(C(=O)NCC(C)C)CC2)c1, fitness:0.32
Cc1noc(-c2cccc(C(=O)N(C)Cc3cccs3)c2)n1, fitness:0.367033700367
CC(C)OC(C)(C)NC(=O)c1c(N)c[nH]c1C(N)=O, fitness:0.266429840142
COc1cccc(CC(C)N(C)C(=O)c2ccccc2C#N)c1, fitness:0.290909090909
Cc1cccc2nc(CN(CC3CCOC3)C(=O)C3CC3)cn12, fitness:0.317662007624
COc1ccc(-c2nc(C(C)n3nccc3C)no2)cc1, fitness:0.353079639074
CC1CN(C(=O)CSc2nnc(C3CC3)n2C)C(C)CO1, fitness:0.230591852421
Cc1ccc(S(N)(=O)=O)cc1C(=O)NCC(C)(C)c1cccs1, fitness:0.484966052376
Cc1cccc(OC(C)N2CCN(C(=O)c3cccc(F)c3)CC2)c1, fitness:0.296296296296
CCN(Cc1ccccc1Cl)C(=O)c1ccncc1OCC(F)F, fitness:0.271186440678
Cc1cc(CNC(=O)C2CC(=O)N(c3cccc(Cl)c3)C2)no1, fitness:0.312695434647
COc1cccc(OC)c1C(=O)Nc1nc(-c2ccccn2)cs1, fitness:0.370644922165
Cc1n[nH]c2ncc(NC(=O)CCc3nc(C(C)C)no3)cc12, fitness:0.369685767098
CCN(Cc1ccc(OC)cc1)C(=O)Cn1ccccc1=O, fitness:0.279888044782
CSc1cnc(Br)nc1C(=O)Nc1ccccc1C#N, fitness:0.333456835865
CN(CCc1ccc(F)cc1)C(=O)c1cc(=O)[nH]c2ccccc12, fitness:0.333456835865
CN(C)C(=O)c1ccc(OC2CCc3ccccc32)cc1, fitness:0.304215558453
CN1C(=O)CN(C(=O)Cc2cccc(F)c2)c2ccccc21, fitness:0.32
CN(Cc1cccc(F)c1)C(=O)C1CCCN1C(=O)c1ccccc1, fitness:0.310451879959
COc1cccc(N2CCC(=O)C2C(=O)Nc2cc(C)ccn2)c1, fitness:0.394537177542
CC(NC(=O)c1cccc(Br)c1)C(=O)N=C1NCC(=O)N1C, fitness:0.310451879959
Cc1ccc(CN(C)C(=O)Cc2ccc(O)cc2)cc1, fitness:0.4
CN(Cc1ccc(F)cc1)C(=O)CNC(=O)c1ccsc1, fitness:0.32
Cc1ccc(NC(=O)C2(N)CNCCN2c2ccnc(C#N)c2)cc1, fitness:0.451722190853
COC(=O)c1sccc1CNc1ccccc1C(N)=O, fitness:0.285597715218
Cc1cc(CNS(=O)(=O)c2ccc(OC(F)F)cc2)no1, fitness:0.407860585836
COCc1ccccc1CNC(=O)c1ccccc1OC(F)F, fitness:0.255102040816
COc1cccc(OC)c1C(=O)NCc1csc(C)c1, fitness:0.340425531915
CC(=O)Nc1ccc(S(=O)(=O)N(C)CC2CC2)cc1, fitness:0.490596892886
Cc1nc(CN(C)C(=O)c2cccc(C#N)c2)cs1, fitness:0.393278512692
COc1cccc(CC(=O)NC2CCCCN2C(=O)c2ccco2)c1, fitness:0.253968253968
COc1cc(OC)cc(C(=O)Nc2ncccc2C)c1, fitness:0.490596892886
Cc1cc(C(=O)NCC(C)(O)C2CC2)sc1C, fitness:0.340425531915
Nc1c[nH]nc1CN(C(=O)Cc1ccccc1F)C1CCCC1, fitness:0.249910746162
CC(C)C(NC(=O)NCc1ccc(Cl)cc1)c1ncn(C)n1, fitness:0.393278512692
COC(=O)CN1CCN(C(=O)c2ccc(Cl)cc2F)CC1, fitness:0.285597715218
C#CCOc1ccc(N(CCC#N)C(=O)c2ccc(C)nc2)cc1, fitness:0.361010830325
O=C(Cc1ccc[nH]1)Nc1ccccc1SC(F)F, fitness:0.221926320462
Cc1nc(S(=O)(=O)NCC(C)(C)c2ccncc2)c[nH]1, fitness:0.462249614792
Cc1cc(NC(=O)c2ccccc2C)cc(C(=O)N2CCOCC2)c1, fitness:0.393278512692
CC(C)c1nc(CN2CCN(C(=O)c3ccc(F)cc3)CC2)no1, fitness:0.296296296296
CS(=O)(=O)NCC(=O)Nc1ccccc1Br, fitness:0.390243902439
O=C(COc1ccc2ccccc2c1)NCc1nnc2n1CCC2, fitness:0.275862068966
CCc1ncsc1CN(C)C(=O)c1ccccc1C#N, fitness:0.333456835865
Cc1ccc(NC(=O)Cc2csc(-c3cccs3)n2)cc1, fitness:0.407860585836
CC1CC1C(=O)NC1CCCCN1C(=O)c1ccccc1F, fitness:0.269127258747
Cc1cc(C)cc(NC(=O)CSc2nnc(C)n2CCO)c1, fitness:0.377643504532
C#CCN1CCN(C(=O)COc2ccc(C#N)cc2)CC1, fitness:0.217108119844
O=C(c1ccsc1)N1CCC(Cn2cncn2)CC1, fitness:0.239808153477
Cc1cccc(NC(=O)CN(C)c2cccc(Cl)c2)c1, fitness:0.462249614792
CSc1ccccc1NC(=O)CC1C(=O)Oc2ccccc21, fitness:0.244698205546
CC(C)c1ccc(N(CC(N)=O)S(C)(=O)=O)cc1, fitness:0.500682749203
CCN(CC(=O)OC)C(=O)Cc1c(F)cccc1F, fitness:0.285442435775
Cc1coc(C(=O)NCC(=O)C2CNc3ccccc32)c1, fitness:0.290909090909
CCOC(=O)c1ccc(NCc2csc(C)n2)cc1, fitness:0.423565652676
CC(C)N1CCc2cc(C(=O)NCc3ccncc3)ccc21, fitness:0.35739814153
CC(=O)Nc1cccc2nc(COc3cccc(C(C)=O)c3)[nH]c12, fitness:0.345065562457
