Cc1ncc(C(=O)NCc2ccccc2F)c(N2CCCCC2)n1, fitness:1.31010521852
Cc1nc(CNS(=O)(=O)c2ccc(C)c(C)c2)cs1, fitness:0.0280356462371
Cc1cccc(C)c1NC(=O)Cc1ncc(NC(=O)C2CC2)s1, fitness:0.601475170182
Cc1ccc(CNC(=O)CSc2nnc(C)n2C)cc1F, fitness:1.62337437677
Cc1ccccc1CNC(=O)c1sc2ncn(C)c(=O)c2c1C, fitness:1.42065356669
Cc1ccccc1CNC(=O)c1sc2ncn(C)c(=O)c2c1C, fitness:1.42065356669
Cc1ccccc1CNC(=O)c1cc(C)n(C2CC2)c1C, fitness:0.188763013902
Cc1cc(C(=O)NCc2ccc(-n3cncn3)c(C)c2)c(C)o1, fitness:1.16206931713
CCn1nc(C)c(CNC(=O)Nc2ccccc2OC)c1C, fitness:1.39366162424
CCN(CC)C(=O)CNc1cccc(C(=O)N2CCCCCC2)c1, fitness:-0.229415337987
C#Cc1cccc(NCC(=O)Nc2ccccc2C#N)c1, fitness:0.217146788035
CC(C)NC(=O)Cc1csc(-c2ccc3c(c2)OCCO3)n1, fitness:1.19309085767
Cc1nc(CNC(=O)Nc2ccccc2C(F)(F)F)c(C)o1, fitness:0.346035201348
Cc1ccc(NC(=O)CN2CCSc3ccccc3C2)c(C)c1, fitness:-1.47749042354
CC(C)Cn1cc(C2CC2)c(C(=O)Nc2ccccc2Cl)n1, fitness:1.03699693469
CC(C)c1nnnn1CC(=O)Nc1cccc(C(F)(F)F)c1, fitness:1.19246468601
CN(CCC#N)C(=O)c1ccccc1OC(F)(F)F, fitness:0.00432127412385
Cc1ccc(-c2nnc(CNc3c(C)cccc3C)o2)cc1, fitness:0.00565255831167
CN(CCOc1ccccc1Cl)C(=O)c1nccnc1N, fitness:0.499400341501
Cc1cccc(CNC(=O)C2CCCN2S(C)(=O)=O)c1, fitness:0.804012196248
CC(C)c1noc(CCNS(=O)(=O)c2ccc(C#N)cc2)n1, fitness:0.609719335299
Cc1ccc(C(=O)Nc2ccc(-c3nnnn3C)cc2)o1, fitness:0.186333502653
Nc1nccc(CN2CCCSc3ccccc32)n1, fitness:-0.277246774606
CC(C)n1nnnc1-c1cccc(C(=O)NC2c3ccccc3CC2O)c1, fitness:0.720721531974
COc1ccccc1CN1CCC(=O)C1C(=O)NC1CCCC1, fitness:0.720412682146
Cc1ccccc1CNS(=O)(=O)c1cn(C)nc1C, fitness:0.0287160163401
CCN(CC)C(=O)c1cc(-c2ccc(C)cc2)c2ccccc2n1, fitness:0.0982102756511
C#Cc1ccccc1NC(=O)Cn1ccc(C(F)(F)F)cc1=O, fitness:0.705091956426
Cc1ccccc1CNC(=O)CSc1nnc(C)n1N, fitness:0.317722152889
Cc1oc2c(ccc3ccccc32)c1C(=O)NCc1cnn(C)c1C, fitness:1.37113504757
CCN(CC)C(=O)c1ccc(NC(=O)c2cccs2)cc1, fitness:0.0186838778212
Cc1nc(-c2ccc(NC(=O)Cc3ccc(F)cc3)cc2)c(C)o1, fitness:0.237750395714
COc1ccc(O)c(C(=O)NCC(C)(C)c2ccncc2)c1, fitness:0.379012094483
CC(C)Cn1ccc(NC(=O)C2(N)NC(C)COC2C)n1, fitness:0.713424419139
Cc1cocc1C(=O)Nc1ccccc1C(=O)NC1CCCC1, fitness:0.113146193398
Cc1ccccc1CNC(=O)c1sc2ncn(C)c(=O)c2c1C, fitness:1.42065356669
Cc1ccccc1CNC(=O)c1sc2ncn(C)c(=O)c2c1C, fitness:1.42065356669
Cc1ccc(CNC(=O)c2cc(S(C)(=O)=O)ccc2C)s1, fitness:0.106019042709
Cc1ccc(CNC(=O)NCc2ccc(C)s2)c(N(C)C)c1, fitness:0.0812783371383
Cc1ccc(C)c(CNS(=O)(=O)c2csc(C(N)=O)c2)c1, fitness:0.297130801226
Cc1cccc(CNC(=O)c2sc3nc[nH]c(=O)c3c2C)c1, fitness:1.28522393559
Cn1nc(CNC(=O)c2cccc(OC(F)F)c2)c2c1CCCC2, fitness:1.35923370021
Cc1ccc(NC(=O)CCNS(=O)(=O)c2cnn(C)c2)c(C)c1, fitness:1.51289668512
Cc1ccc(NC(=O)NCC(C)(C)c2ccncc2)c(C)c1, fitness:0.094054227101
Cc1ccc(NC(=O)CSc2nnc(C)n2CC(N)=O)c(C)c1, fitness:1.32718894073
Cc1ccc(NC(=O)CSc2nnc(C3CC3)n2C)c(C)c1, fitness:1.55545561941
Cc1nc(CNC(=O)NCc2ccc(S(C)(=O)=O)cc2)c(C)o1, fitness:0.0749029562245
Cc1ccc(NC(=O)Cc2nnc(-c3ccncc3)o2)c(C)c1, fitness:0.792761375904
Cc1cc(S(=O)(=O)NCC(C)Cn2cccn2)sc1C, fitness:0.652849626543
COc1ccc(C)cc1NC(=O)CSc1nncn1C, fitness:1.65343279422
COc1ccc(NC(=O)CSc2nncn2C)cc1OC, fitness:0.948146829408
COc1ccc(C(=O)NCc2nncn2C2CC2)cc1OC, fitness:1.16050195503
Cc1ccc(NC(=O)N2CCNC(N)(c3ccno3)C2)c(C)c1, fitness:0.989740840344
COc1ccc(OC)c(N2CCN(C(=O)Cc3ccsc3)CC2)c1, fitness:0.809643468868
CN(C)S(=O)(=O)c1ccccc1CNC(=O)c1ccc2cccnc2c1, fitness:1.65267693624
COc1ccc(N2CCN(C(=O)CC(C)C)C(=O)C2)cc1, fitness:0.0544854969258
Nn1c(SCC(=O)NC2CC2)nnc1-c1ccccc1, fitness:0.266146125448
COc1ccc(-n2cncc2SCC(=O)NC2CC2)cc1, fitness:1.00375067435
COc1cccc(NC(=O)CC(C)c2ccsc2)c1-n1cnnn1, fitness:0.714066596627
COc1ccc(-c2nnc(SCc3ccccn3)n2C)cc1, fitness:0.253850060515
COC(=O)c1cc(NC(=O)Cc2cccc(F)c2)ccn1, fitness:1.05866170993
CC(Sc1cccnc1)C(=O)Nc1cccc(C#N)c1, fitness:1.22755242286
COc1cc(NC(=O)NCc2ncc3ccccn23)ccc1C, fitness:1.7776840187
CCn1c(SCC(=O)Nc2ccncc2)nnc1-c1ccoc1, fitness:1.13335707465
CC(O)(O)n1nccc1NC(=O)CSc1ccccc1, fitness:0.129461263627
COc1ccc(NC(=O)Cc2ncc3sccn23)cc1, fitness:0.857569977295
COc1cc(NC(=O)Cc2ncc3sccn23)cc(OC)c1, fitness:0.609300705458
CCN(Cc1ccccc1)S(=O)(=O)c1ccccc1NC(C)=O, fitness:0.0312611266009
CCN(Cc1ccccc1)S(=O)(=O)CC(=O)Nc1ccncc1, fitness:0.00152513077834
CCN(Cc1ccccc1)C(=O)NCc1ccnn1C, fitness:0.191361554514
COc1cc(NC(=O)Cc2ncc3ccccn23)cc(OC)c1, fitness:0.694533205501
COc1ccc(NC(=O)Cc2ncc3sccn23)cc1, fitness:0.857569977295
COc1cccc(NC(=O)CSc2nnc3ccccn23)c1Cl, fitness:1.12075018897
CC1CN(C(=O)CCn2cncn2)c2ccccc2NC1=O, fitness:-1.46802742357
COc1ccc(NC(=O)CSc2cn3ccccc3n2)cc1, fitness:1.37659504241
Cc1ccccc1NC(=O)NCc1cn2ccccc2n1, fitness:0.345221408129
CCN(Cc1ccccc1)C(=O)CSc1nnc(N)n1C1CC1, fitness:0.0102940192015
Cc1cccc2nc(C(=O)NCc3ccncc3)cn12, fitness:0.193687571115
Cc1ccc(NC(=O)N(Cc2ccccn2)C2CC2)cc1S(C)(=O)=O, fitness:1.80016054836
Cc1cc(F)ccc1NC(=O)NCc1ccccn1, fitness:0.261789528334
Cc1cc(OCC2CC2)ccc1NC(=O)NCc1ccnn1C, fitness:1.56966787133
N#CCCN(C(=O)Nc1ccc(C#N)cc1)c1ccccc1, fitness:0.0272206219328
CC(C)NC(=O)NCc1ccnc(OCC(F)(F)F)c1, fitness:0.0476595015665
Cc1c(Cl)cccc1NC(=O)NCc1ccccn1, fitness:0.13687378821
N#Cc1ccc(NC(=O)N2CCNCC2(N)c2ccccc2)cc1, fitness:0.696158308939
CC1CCCCN1C(=O)NCc1ccnc(OCc2ccccc2)c1, fitness:1.21740901919
COc1ccc(NC(=O)Cc2cn3ccccc3n2)cc1OC, fitness:1.51746297045
COc1ccc(NC(=O)c2ccn(Cc3ccccc3)c(=O)c2)cc1, fitness:0.710883860498
Cc1c(NC(=O)NCc2ccncc2)cccc1C(=O)N1CCCC1, fitness:1.18957926229
CC1CCCC(C)N1C(=O)c1cnn(Cc2ccccc2)c1, fitness:0.0845731466979
COc1ccc(NC(=O)c2n[nH]c3ccccc23)cc1OC, fitness:0.204700983729
CCn1ccc(S(=O)(=O)NCc2cncc(OC)c2)n1, fitness:0.801344062924
Cc1c(C(=O)Nc2cccc3ncccc23)oc2nc[nH]c(=O)c12, fitness:1.29901113144
Cc1c(NC(=O)N(C)CC2CC2)cccc1S(C)(=O)=O, fitness:0.177092423969
Cc1ccc(NC(=O)Cc2cn3ccccc3n2)c(F)c1, fitness:1.58993918644
CCN(Cc1ccccc1)C(=O)c1ccnc(-n2cccn2)c1, fitness:1.38456176597
COc1cccc(C(=O)Nc2ccnc(N3CCCC3)c2)c1, fitness:1.91046612293
O=C(NCc1cccc(F)c1)c1cccc(-n2cccn2)c1, fitness:0.823648652738
O=C(NCc1ccc(F)cc1)c1ccc(OC(F)F)cc1, fitness:0.00446709651988
O=C(NCC(O)c1ccccc1)c1cc(F)cc(F)c1, fitness:0.00249860075167
O=C(NCC(O)c1cccc(F)c1)c1cccc(Cl)c1, fitness:0.0659194107441
COc1ccc(NC(=O)c2cc3ccccc3[nH]c2=O)cc1, fitness:0.107053191133
NC(=O)COc1cccc(C(=O)NCc2ccc(F)cc2)c1, fitness:0.143321790099
O=C(NCc1cccnc1)c1cc(F)cc(F)c1, fitness:0.00797182487229
O=C(NCC(F)(F)F)c1ccc(-n2cnnn2)cc1, fitness:0.0148189052014
O=C(NCc1ccc(Cn2cncn2)cc1)c1ccc(F)cc1, fitness:0.0707787619829
Cc1cccc(NC(=O)c2ccncc2OCC(F)F)c1F, fitness:1.17849307497
O=C(NCc1cccc(F)c1)c1cccc(OC(F)F)c1, fitness:0.0768693888595
CC(=O)Nc1ccccc1C(=O)N(C(C)O)C1CCCC1, fitness:0.0526156398983
O=C(NCc1cccnc1)c1ccc(-n2cnnn2)cc1, fitness:0.412377319076
CC1CC1C(=O)Nc1ccccc1NC(=O)c1cccnc1, fitness:0.0337181433285
COc1ccc(C(=O)Nc2ccnc(N3CCCC3)c2)cc1, fitness:0.37840928666
O=C(NCc1ccc(Cn2cccn2)cc1)c1ccc(F)cc1, fitness:0.0820385910138
O=C(CN1CCCC1=O)Nc1cccc(OCc2ccccc2)c1, fitness:1.1732990124
COc1cnc(NCc2ccc(C#N)cc2)nc1OC, fitness:0.0503508853502
COc1ccc(NC(=O)Cc2cn3ccccc3n2)cc1OC, fitness:1.51746297045
COc1cc(OC)cc(C(=O)NCc2ncc3cccc(Cl)n23)c1, fitness:0.921903060358
Cc1cccc(NC(=O)NCc2cn3ccccc3n2)c1C, fitness:1.49731147583
Cc1cccc(C)c1NC(=O)N1CCNCC1(N)c1ccsc1, fitness:0.744987785902
Cc1cccc(NC(=O)NCc2cnc3ccccn23)c1C, fitness:1.49416252742
CC(=O)Nc1cccc(C)c1NCc1nnc(C2CC2)o1, fitness:1.10568963582
Cc1ccc(NC(=O)CSc2nnc3ccccn23)c(C)c1, fitness:1.6080434825
Cc1ccc(NC(=O)NCc2ccncc2)cc1S(C)(=O)=O, fitness:0.255602409698
COc1cccc(CNC(=O)N(C)Cc2nccn2C(F)F)c1, fitness:1.44475364582
C=C(C)N(Cc1ccccc1)C(=O)Nc1ccncc1C, fitness:0.252815290331
COCc1nnc(SCC(=O)Nc2ccccc2F)n1N, fitness:1.29553611128
CC(N(C)C(=O)Nc1ccc(C#N)cc1)C(F)(F)F, fitness:0.000809017038506
COc1ccc(CNC(=O)Nc2cc(C)nn2C)cc1OC, fitness:0.534191689725
N#Cc1cc(NC(=O)c2ccc(NCc3ccsc3)cc2)ccn1, fitness:1.30808236781
Cc1cnn(CCC(=O)Nc2ccc(C)c(OC(F)F)c2)c1, fitness:1.58362754212
Cc1c(C(=O)NCc2cccc(-n3ccnc3)c2)oc2c1C=CC(=O)C2, fitness:0.999189106756
CCN(Cc1ccccc1)C(=O)NCc1cc(=O)[nH]c2ccccc12, fitness:1.05045536409
CN(C)C(=O)c1ccccc1S(=O)(=O)NCc1ccncc1, fitness:0.0653374353855
Cc1cccc(C)c1NC(=O)N(Cc1ccncc1)Cc1ccoc1, fitness:0.349191424701
Cc1c(NC(=O)NCc2cccnc2)cccc1-n1cnnn1, fitness:1.2384424934
Cc1ccc(NC(=O)NCc2ccncc2)c(Cl)c1, fitness:0.0458205608764
CC(=O)Nc1ccc(SCC(=O)N(C)C2CC2)cc1, fitness:0.0217221765694
COc1ccc(CNC(=O)c2c(N)cc[nH]c2=O)cc1, fitness:0.0712823202794
Cc1nc(C(=O)Nc2ccc(N3CCOCC3)cc2)oc1C, fitness:0.153333761871
Cc1nc2ccccc2n1CC(=O)NCC1CCCO1, fitness:1.49479561485
Cc1ccc(NC(=O)NCc2nnc3ccccn23)c(F)c1, fitness:1.41357894549
Cc1c(NC(=O)c2ccco2)cccc1NC(=O)C1CC=CCC1, fitness:0.640878191295
CN(Cc1ccc(Cl)cc1)C(=O)c1conc1-c1cccnc1, fitness:1.01472637949
COc1cccc(C(=O)NCCN2CCOCC2)c1OC, fitness:0.385270660847
Cc1ccc(S(=O)(=O)NCC(O)c2ccco2)cc1C, fitness:0.0911018197062
CC1CN(C(=O)c2ccc(OCc3ccncc3)cc2)c2c[nH]cc2N1, fitness:0.628768497033
C=C(C)N(Cc1ccccc1)C(=O)c1oc(S(N)(=O)=O)cc1C, fitness:0.562796275653
COc1ccc(NC(=O)c2cnn(Cc3ccccc3)c2)cc1, fitness:0.517031256481
CSc1cccc(NC(=O)c2cc3c([nH]c2=O)CCC3)c1, fitness:1.13620905303
Cc1ccc(NC(=O)Cc2csc(-c3ccoc3)n2)c(C)c1, fitness:1.40342303025
Cc1cccc(C)c1NC(=O)NCc1cc2ccccc2[nH]c1=O, fitness:0.234653108192
N#Cc1ccc(NC(=O)NCc2cc(OCC(F)(F)F)ccn2)cc1, fitness:1.1519753438
CC(C)Oc1cccc(NC(=O)Cc2ccc[nH]2)n1, fitness:0.225146465601
N#Cc1cccc(NC(=O)Cc2ccc(F)cc2)c1Cl, fitness:0.0362898510253
COc1ccc(OC)c(CC(=O)Nc2cccc(C#N)c2)c1, fitness:0.715570328344
Cc1ccc(NC(=O)N2CCNCC2(N)c2cccs2)cc1, fitness:0.924938160545
CC(C(=O)Nc1ccc(C(=O)N(C)C)cc1)c1ccsc1, fitness:0.0246247484506
CN(Cc1ccccc1)C(=O)c1cccc2nnnn12, fitness:0.0577822968649
Cc1c(NC(=O)NCc2cccnc2)cccc1C(=O)NC1CC1, fitness:1.21112280287
CCN(CC)S(=O)(=O)c1ccc(NC(=O)C2=CCCC2)cc1, fitness:0.0803285868678
Cc1cc(NC(=O)NCc2conc2C)cc(OCC(F)F)c1, fitness:0.890697552497
CCN(Cc1ccccc1)C(=O)Cn1ccc2occc2c1=O, fitness:0.956937803902
Cc1cc(NC(=O)c2ccoc2)cc(NC(=O)c2ccsc2)c1, fitness:0.0392111512388
COC(=O)c1ccc(NC(=O)N(CCO)C2CC2)cc1, fitness:0.0904101022567
Cc1sccc1C(=O)NCc1cccc(-n2ccnc2)c1, fitness:1.43844507661
CCN(CC)S(=O)(=O)c1ccccc1NC(=O)Cc1cccs1, fitness:0.00230907836579
CC(=O)Nc1ccccc1CC(=O)N(C)Cc1ccc(F)cc1, fitness:0.079124966549
CC(=O)Nc1ccc(NCc2nnc(C3CCC3)o2)cc1, fitness:0.140141242164
COc1cc(NC(=O)Cc2cn3ccsc3n2)cc(OC)c1OC, fitness:0.942948741733
COc1cccc(N2CCN(C(=O)CC3C=CCC3)CC2)c1, fitness:0.761791697997
Cc1cccc(NC(=O)c2cccc(OCc3nccn3C)c2)n1, fitness:1.64676012748
Cc1ccc(-n2cnnc2SCC(=O)N2CCCC2)cc1F, fitness:1.38387056875
COc1ccc(C(=O)NCC(=O)NC2CC2)c(OC)c1, fitness:0.0870418243455
Cc1cccc(NC(=O)NCc2cn3ccccc3n2)c1C, fitness:1.49731147583
Cc1ccc(NC(=O)N2CCN(Cc3ccccn3)CC2)c(F)c1, fitness:1.43363722929
N#Cc1ccc(NC(=O)Cc2ccc(Cl)cc2)cc1, fitness:0.00250146663106
Cc1cccc(-n2nnc(C)c2C(=O)NCc2ccncc2)c1, fitness:1.25700948481
COc1ccc(CN(C)C(=O)c2cc(=O)n3ccccc3n2)cc1, fitness:1.25385255306
COc1ccc(F)c(NC(=O)Cc2cnn(-c3ccccc3)c2)c1, fitness:1.22462971084
CN(C)C(=O)NCc1ccccc1C(=O)NCc1ccncc1, fitness:0.052622706302
O=C(NCc1ccccc1)c1cccc(-n2cnnc2)c1, fitness:0.0192606253844
COc1ccc(C(=O)NCc2ccnc(OCC(F)(F)F)c2)cc1, fitness:1.21207339777
COc1cccc(C(=O)Nc2nc(-c3ccco3)cs2)c1O, fitness:1.12840732765
CC(NC(=O)NC(C)c1ccccc1Cl)c1cn(C(F)F)cn1, fitness:0.216564324323
Cc1ccc(NC(=O)CN(C)C(=O)Cc2ccccc2)cc1, fitness:0.0147770939503
COc1cccc(NC(=O)c2[nH]c(=O)ccc2N)c1C, fitness:0.137930685479
COc1ccc(NC(=O)C2Oc3ccccc3OC2C)cc1, fitness:0.0117687449057
Cc1ccc(NC(=O)C2CC2)c(OCC(=O)Nc2ccncc2)c1, fitness:1.36532865123
CCN(Cc1cccc(OC)c1)C(=O)Cc1noc2ccccc12, fitness:1.15634228787
COc1ccc(CNC(=O)c2ccc(=O)n(C)n2)cc1OC, fitness:0.31661212323
Cc1cc(C)cc(NC(=O)N(C)Cc2ccncc2)c1, fitness:0.00901983773433
CSc1cccc(NC(=O)Cn2ccc(=O)[nH]c2=O)c1, fitness:0.464178543059
Cc1ccc(NC(=O)NCc2cccnc2)cc1S(C)(=O)=O, fitness:2.14919940829
Cc1ccc(NC(=O)COc2cccc(C#N)c2)c(Cl)c1, fitness:1.32359107856
CCN(Cc1ccccc1)C(=O)c1cccc(OCC(N)=O)c1, fitness:0.00232686187736
Cc1cc(C)cc(NC(=O)COc2cccc(F)c2)c1, fitness:0.023676135013
CCN(Cc1ccccc1)C(=O)c1cccc(NC(=O)C2CC2)c1, fitness:0.724745237772
CCNC(=O)c1cccc(NC(=O)Cc2cccc3ccccc23)c1, fitness:0.274455446832
CCNC(=O)c1ccc(S(=O)(=O)NCC2CCCO2)cc1, fitness:0.318422021599
COc1ccc(C(=O)Nc2cccc(CN3CCOC3=O)c2)c(F)c1, fitness:1.10026818104
COc1cccc(NC(=O)c2n[nH]c3ccccc23)c1, fitness:0.236280158708
Cc1cccc(NC(=O)C(C)Oc2cccc(F)c2)c1-n1cnnn1, fitness:0.974826194541
O=C(NCc1ccc(F)cc1)c1cc2cccn2cn1, fitness:0.167896172693
CCOC(=O)c1ccc(NC(=O)c2ccsc2)cc1, fitness:0.0127204159354
Cc1ccc(NC(=O)CSc2ccccn2)c(F)c1, fitness:0.396480543154
CC(=O)Nc1cccc(NC(=O)c2ccc3ccccc3c2)c1, fitness:0.00246332457415
Cc1ccccc1NC(=O)N(CCO)Cc1ccccc1, fitness:0.0222326293386
CCN(CC)C(=O)c1cccc(NC(=O)c2cccc(F)c2)c1, fitness:0.0323775609047
C=C(C)NC(=O)c1ccnc(OCc2ccccc2)c1, fitness:0.189419226861
CC1CCN(C(=O)Cn2nnc3ccccc32)c2ccccc21, fitness:0.908398743978
CC(=O)Nc1cccc(C(=O)N(C)c2cccc3ncccc23)c1, fitness:1.04441927591
CC(=O)Nc1c(F)cccc1C(=O)NCc1ccco1, fitness:0.117644688717
CCOC(=O)c1ccc(NC(=O)Cc2ccccc2F)cc1, fitness:0.0563682716429
Cc1nc(Cc2ccc(NC(=O)NCc3ccsc3)cc2)no1, fitness:1.21292638178
COc1ccc(NC(=O)CCc2cnn(C)c2)cc1, fitness:0.13301087322
CCN(Cc1ccccc1)C(=O)CSc1ccccc1N, fitness:0.0162636512963
CC1CCCC(NC(=O)C(C)c2ccc(N)cc2)C1, fitness:0.0196343126138
CC(=O)Nc1cccc(-c2nccn2CC(=O)NC(C)C)c1, fitness:1.48453420379
CC(=O)Nc1ccccc1NCC(=O)NCc1ccc(Cl)cc1, fitness:0.022228570012
O=C(NCc1ccccc1F)c1ccc(-n2cccn2)cc1, fitness:0.147689360384
CC(=O)N(Cc1cccc(NC(=O)c2ccncc2)c1)C1CCCC1, fitness:1.18213190141
CCN(CC)C(=O)c1ccccc1NCc1cccc(F)c1, fitness:0.0871514942529
Cc1cccc(O)c1NC(=O)c1ccc(N2CCCC2)nc1, fitness:0.810227910165
Cc1ccc(S(=O)(=O)NCc2csc(C3CC3)n2)cc1C, fitness:0.575352985465
CC(=O)Nc1ccc(NCc2ocnc2-c2ccc(F)cc2)cc1, fitness:0.209508698546
NC1(c2cnn3ccccc23)CNCCN1C(=O)c1ccc(Cl)cc1, fitness:0.571514694037
CCN(Cc1ccc(F)cc1)C(=O)c1cnc2ccccn2c1=O, fitness:1.04976162915
COc1ccc(C)cc1NC(=O)Cc1cn2ccsc2n1, fitness:1.56494541982
Cc1ccc(NC(=O)NCc2nnc3n2CCCCC3)c(C)c1, fitness:-1.67964763454
CSc1ncc(CNC(=O)Nc2cccc(C#N)c2)n1C, fitness:1.43892894317
Cc1cccc(NC(=O)NCc2cn3ccccc3n2)c1C, fitness:1.49731147583
COc1ccc(C(=O)NCc2nnc3ccccn23)cc1OC, fitness:1.23855826487
Cc1cccc(NC(=O)NCc2nnc3n2CCCCC3)c1C, fitness:-1.6160195247
CNS(=O)(=O)c1ccc(CNC(=O)c2cccc3ncccc23)cc1, fitness:1.48480504221
COc1ccc(NC(=O)CSc2nncn2C)c(C)c1, fitness:1.7227734674
Cc1cccc(C)c1NC(=O)NCc1cn2cccc(C)c2n1, fitness:0.149151449254
COc1ccc(NC(=O)Cc2cn3cccc(C)c3n2)c(C)c1, fitness:1.44976365424
CC(C)n1c(=O)n(C)c(=O)c2ccc(C(=O)NCc3ccco3)cc21, fitness:1.08385845528
Cc1cccc(C)c1NC(=O)NCc1cn2cccc(C)c2n1, fitness:0.149151449254
C=CCn1c(SC(C)C(=O)NC2CC2)nnc1-c1ccncc1, fitness:0.0087536525437
Cc1ccc(NC(=O)N(C)Cc2ccoc2)c(C)c1, fitness:0.116626303543
Cc1cccc(NC(=O)NCc2cn3cccc(C)c3n2)c1C, fitness:0.783834278362
Cc1cc(C)c(NC(=O)Cc2cnc3ccccn23)c(C)c1, fitness:0.288706465015
Cc1ccc(NC(=O)N(C)Cc2cn(C(F)F)cn2)c(C)c1, fitness:1.26376969506
CC(C)NS(=O)(=O)c1ccc(CNC(=O)NCc2ccncc2)cc1, fitness:0.000139361495156
COc1ccc(NC(=O)CSc2nncn2C)c(C)c1, fitness:1.7227734674
COc1cc(OC)c(OC)c(C(=O)NCc2n[nH]cc2N)c1, fitness:0.754696664764
Cc1ccc(NC(=O)CCn2cccn2)cc1S(C)(=O)=O, fitness:2.19219435007
Cc1cc(C(=O)NCc2cnn(-c3ccccc3)c2)ccc1-n1cnnn1, fitness:1.09797065339
CC(C)n1ccc(C(=O)NCc2ccnn2-c2ccccc2)cc1=O, fitness:0.941388565949
CC(C)n1ncc2cc(C(=O)NCc3nnc4n3CCC4)cnc21, fitness:1.01681847403
Cc1ccc(NC(=O)CSc2ncc3[nH]nc(N)c3n2)cc1, fitness:1.4870702702
Cc1cc(C(=O)NCc2cnn(-c3ccccc3)c2)ccc1-n1cnnn1, fitness:1.09797065339
Cc1ccc(CNC(=O)NCc2cnn3ccccc23)cc1, fitness:0.157741552308
CC(C)n1ccc(C(=O)NCC2CCOC2)cc1=O, fitness:0.884172649098
Cc1ccc(CNC(=O)Nc2ccnn2Cc2ccccc2)cc1, fitness:0.273655609032
Cc1cc(O)ccc1C(=O)NCc1ncc2ccccn12, fitness:1.540670751
N#Cc1ccc(NCC(=O)Nc2ccc(F)cc2)cc1, fitness:0.00221061451794
N#Cc1ccc(NC(=O)NCc2ccnc(OC3CCCC3)c2)cc1, fitness:1.28386352328
Cc1ccc2ncc(C(=O)Nc3ccc(F)cc3)c(=O)n2c1, fitness:0.330150338786
NC1(C(=O)Nc2ccccc2-c2ncc3ccccn23)NCCC1=O, fitness:0.672870947164
Cc1ccc(S(=O)(=O)NCC(O)c2ccsc2)cc1, fitness:0.0160961500837
N#Cc1ccc(NC(=O)CSc2cccc(F)c2)cc1, fitness:0.0972668675647
Cc1ccc(C(=O)NCC(=O)N2CCCC2)c(C)c1, fitness:0.0155894357364
